F11,F22,F33,F12,F13,F23,F21,F31,F32,elVol
0.941015,1.152466,0.944973,0.290501,-0.018454,0.002459,-0.036903,0.012583,-0.126328,-0.000125
0.901494,1.217749,0.907613,0.191656,-0.033140,-0.013192,-0.090803,0.021640,0.055516,-0.000125
0.914280,1.186559,0.917992,0.175458,-0.023343,-0.048249,-0.101978,0.012472,0.111047,-0.000125
0.911391,1.193226,0.912942,0.158688,-0.011434,-0.075625,-0.091104,0.000637,0.143463,-0.000125
0.912942,1.193226,0.911391,0.143463,0.000637,-0.091104,-0.075625,-0.011434,0.158688,-0.000125
0.917992,1.186559,0.914280,0.111047,0.012472,-0.101978,-0.048249,-0.023343,0.175458,-0.000125
0.907613,1.217749,0.901494,0.055516,0.021640,-0.090803,-0.013192,-0.033140,0.191656,-0.000125
0.944973,1.152466,0.941015,-0.126328,0.012583,-0.036903,0.002459,-0.018454,0.290501,-0.000125
0.928394,1.149984,0.963802,0.325585,-0.016630,0.000024,-0.034905,0.005182,-0.035104,-0.000125
0.883503,1.237962,0.918467,0.186269,-0.031640,-0.002057,-0.086680,0.014303,0.046986,-0.000125
0.905300,1.214570,0.911291,0.164326,-0.024919,-0.015223,-0.098070,0.013015,0.116374,-0.000125
0.906163,1.211853,0.911340,0.147789,-0.014797,-0.034486,-0.088153,0.003659,0.143137,-0.000125
0.911487,1.203007,0.913034,0.133620,-0.006126,-0.047414,-0.074117,-0.004713,0.158870,-0.000125
0.918482,1.192148,0.916713,0.104257,-0.001328,-0.051909,-0.048524,-0.011803,0.168708,-0.000125
0.915993,1.184606,0.931037,0.052148,-0.000338,-0.035530,-0.014501,-0.015629,0.196868,-0.000125
0.953027,1.105872,0.972644,-0.113993,-0.000248,-0.009692,0.001763,-0.008304,0.204160,-0.000125
0.921538,1.150063,0.972452,0.352938,-0.010724,-0.000103,-0.033928,0.004544,0.028641,-0.000125
0.873494,1.240843,0.929230,0.186175,-0.022972,-0.000981,-0.083841,0.011331,0.071799,-0.000125
0.900363,1.229190,0.909757,0.155655,-0.020928,-0.005315,-0.093658,0.010597,0.118210,-0.000125
0.904212,1.225532,0.907314,0.138789,-0.013379,-0.014352,-0.083374,0.004674,0.143696,-0.000125
0.912121,1.210526,0.910951,0.127336,-0.006767,-0.022620,-0.070277,-0.001120,0.152981,-0.000125
0.921259,1.189433,0.920942,0.102111,-0.003135,-0.022930,-0.046090,-0.005291,0.160927,-0.000125
0.921395,1.162870,0.944803,0.049689,0.000480,-0.014859,-0.013451,-0.007643,0.166464,-0.000125
0.956453,1.091545,0.980478,-0.112693,0.001548,-0.004635,0.001990,-0.004337,0.157282,-0.000125
0.918885,1.150846,0.975554,0.370119,-0.006457,-0.000680,-0.033788,0.003987,0.080635,-0.000125
0.868378,1.242583,0.934571,0.188437,-0.013651,-0.002326,-0.082640,0.008208,0.104012,-0.000125
0.896890,1.234404,0.911350,0.149970,-0.012272,-0.004945,-0.090482,0.006363,0.128691,-0.000125
